Email,Contains WIN?,Contains FREE?,Contains OFFER?,Spam or Not Spam?
WIN a FREE car,Yes,Yes,No,Spam
Special OFFER just for you,No,No,Yes,Not Spam
WIN a big FREE prize!,Yes,Yes,No,Spam
Limited time OFFER,No,No,Yes,Not Spam
Claim your FREE vacation!,No,Yes,No,Spam
Get an OFFER you can't refuse,No,No,Yes,Not Spam
WIN FREE gifts and prizes!,Yes,Yes,No,Spam
Exclusive OFFER ends soon,No,No,Yes,Not Spam
FREE upgrade on your purchase,No,Yes,No,Not Spam
WIN a FREE bonus now!,Yes,Yes,No,Spam
Special OFFER for members,No,No,Yes,Not Spam
WIN big with our OFFER,Yes,No,Yes,Not Spam
FREE gifts with your purchase,No,Yes,No,Spam
Huge OFFER just for you!,No,No,Yes,Spam
WIN a trip to Hawaii!,Yes,No,No,Not Spam
Claim your FREE OFFER now,No,Yes,Yes,Spam
FREE shipping on all orders,No,Yes,No,Not Spam
OFFER ends soon!,No,No,Yes,Not Spam
